Лужа не сохнет по несколько дней||Лужа|не сохнет|дней  
Мусор и хлам также имеется и на путях железной дорогичто недопустимо||Мусор|имеется|путях  дороги
Мусор скапливается каждый день||Мусор|скапливается|день  
Лестница находится в неудовлетворительном состоянии и представляет угрозу здоровья людей||Лестница|находится|состоянии  
Уборка производится 1 раз в неделю||Уборка|производится|раз  неделю
nПрактически месяц уже требуется на решение столь простой проблемы||\\n|требуется|решение  проблемы
Стоки засорены мусором||Стоки|засорены|мусором  
Бункернакопитель вновь размещен не на специально оборудованной площадке а на тротуаре||Бункер|размещен|площадке  
Короб вентиляционной шахты изрисован граффити и забит мусором необходима уборка||Короб|изрисован|граффити  
Лестница находится в аварийном состоянии||Лестница|находится|состоянии  
nАдмНаздор  включитесь в работу пожалуйста||\\nАдмНаздор|включитесь|работу  
Кучи лежат прям у подъездов||Кучи|лежат|подъездов  
Мусор не убирался с начала года||Мусор|не убирался|начала  года
Мусор ни кто не убирал с конца прошлого года||Мусор|не убирал|конца  года
Господа ответсвенные требуйте у своих подчинённых работников фото с датой||Господа|требуйте|работников  фото
Мусор не убирали больше недели||Мусор|не убирали|недели  
Мусор свезен в одну яму и присыпан свежей землёйпроблема захламленности участка не устранена||Мусор|свезен|яму  
Пыль летит на прилегающие территории припаркованные машины||Пыль|летит|территории  
Наведите порядок в своём районе и научите этих людей работать в соответствиями с нормативными документами принятыми в городе Москва||Москва|научите|людей  
Более месяца стоит с края проезжей части разбитый Опель гн с 660 ем 57 с разбитыми моторным отсеком||Опель|стоит|края  части
Проблема осталась прежняя Торговцы стоят ежедневно одни и те же||Торговцы|стоят|одни  
Мусор лежит несколько дней||Мусор|лежит|дней  
Автолавка находится на том же месте||Автолавка|находится|месте  
Окурки мусор не убирается месяцами||Окурки|не убирается|месяцами  
Когда же это прекратитсяnТам уже пора новый газон сеять тк за столько времени трава внизу уже сгнила||\\nТам|пора|сеять  
Бежевый ржавый Запорожец очень давно стоит на одном месте и занимает парковочное пространство||Запорожец|стоит|месте  
Мусор лежит вокруг всего озера сфотографировать его весь и выложить на портал не представляется возможным||Мусор|лежит|озера  
К сожалению Дворник убрал только часть территории||Дворник|убрал|часть  территории
Газон с плодородной травкой гниёт под этой лиственной массой ||Газон|гниёт|массой  
Сосульки снег и наледь свисают с козырька не исключено что может упасть||Сосульки|свисают|козырька  
Очередной раз обращаемся к Вам чтобы Вы решили нашу проблему||Вы|решили|проблему  
Автомобиль очень долгое время стоит без движения больше года появились признаки что в нем ктото проживает||Автомобиль|стоит|движения  
Мешки занимают 3 машиноместа||Мешки|занимают|машиноместа  
Прошу заметить что проблемы и задачи города не решаются таким образом а Москва уже знает печальный опыт глав районов  мастеров фотошопа||Москва|знает|опыт  глав
Мусор и камни не убирают продолжительный период||Мусор|не убирают|период  
Лестница напротив молочнораздаточного пункта при детской поликлинике 7  шатаются 4 плитки на двух ступенях очень опасная ситуация учитывая погодные условия||Лестница|шатаются|плитки двух ступенях
На работы МОСГАЗ сам себе определил 5 мес как видно из фото Вы мне отвечаете что работы будут окончены ещё спустя 25 мес Откуда этот срок 25мес||МОСГАЗ|определил|мес.  
Мусор убран частично во многих местах на данной территории попрежнему кучи и свалки||Мусор|убран|кучи  
ЗдравствуйтеМежду домом 36 по улице Дурова и домом 18 стр1 по улице Гиляровского вот уже несколько месяцев присутствует огромная куча столбов и веток упавших деревьев и мусораИ никто не собирается это устранятьПомогите пожалуйста в решении этой проблемыСпасибо||Спасибо|Помогите|решении  проблемы
nОбъясните мне что ЭТО делает в моём дворе||ЭТО|делает|дворе  
Газель стоит на проезжей части между домом 23 и торговым центром без номеров||Газель|стоит|части  
Работы по замене плит проведены были но с таким плохим качеством и нарушением технологии что половина уложенных плит через день отвалиласьnЛестница попрежнему остается травмоопасной||\\nЛестница|остается|травмоопасной  
Мусор систематически свозится самосвалами и закапывается экскаваторами||Мусор|свозится|самосвалами  
Асфальт практичнее в этом плане||Асфальт|практичнее|плане  
Пыль летит в подъезд и в окна невозможно пройти по тротуару||Пыль|летит|подъезд  
Парапет был прикрыт металлическими листами||Парапет|прикрыт|листами  
Парковка у дома 5 корп 2 ул Уссурийская вся завалена строительным мусором грунтом который не убирают||Уссурийская|завалена|мусором  
Мусор лежит всю неделю и только увеличивается в количестве||Мусор|лежит|неделю  
Дворники на регулярной основе складывают пачки картона во дворе||Дворники|складывают|пачки  картона
nМусор  и снег складируется уже вокруг контейнеров на  всей территории парковки это мешает въездувыезду и парковке автотранспорта||\\nМусор|складируется|контейнеров  
Мусор на улице с наржней стороны улицы лежит уже три дня||Мусор|лежит|дня  
Жилищник упорно игнорирует уже какой раз именно это место||Жилищник|игнорирует|раз  
Реклама так и стоит на своем месте||Реклама|стоит|месте  
Хлеб плохо упаковывается в пакеты лежит просто так без пакетов лежит просрочка в отделе уже второй раз была замечена бегающая по булкам по второй снизу полке большая крыса при видя людей старается очень быстро спрятаться выходит примерно в 0200 часа ночи на фото поймать не успел но признаки ее присутствия обращаю внимание на погрызенную булку  на фото видно||Хлеб|упаковывается|пакеты  
Машины не моют колёса разносят грязь вокруг дома||Машины|не моют|колёса  
Как правило покупала в новом открывшемся в августе супермаркете Виктория творог и молочные продукты||Виктория|покупала|супермаркете  
nТам же обратила внимание что пакеты с кефиром стоят на витрине с истекающим сегодня сроков годностиnПросьба провести тщательную проверку магазина на предмет условий хранения и сроков хранения пищевых продуктов||\\nТам|обратила|внимание  
Тележки с хламом перенесли к 1 подьезду||Тележки|перенесли|подьезду  
Дворники тащат весь хлам а начальника участка видимо так и сидит у себя в кабинете только Убирайте и на помойку это ||Дворники|тащат|хлам  
Перила приварили к опоре||Перила|приварили|опоре.  
Газон и территория захламлена мусором остатками бетона и другим хламом||Газон|захламлена|мусором  
Полусферы лежат на земле без прямого предназначения||Полусферы|лежат|земле  
Мусор разбросан по траве дворник обходит мимо и не убирает||Мусор|разбросан|траве  
Магазин находится в антисанитарных условиях грязный пол уже давно его в принципе никто не моет остатки продуктов на стеллажах под ними на полу ценники разбросаны везде тараканы спокойно путшествуют по стеллажам и продуктам в ногах кассиров валяются продукты2||Магазин|находится|условиях  
Мусор сгребли в кучу и все см сообщение 22603220||Мусор|сгребли|кучу  
Еа территории множественные рсколки бктонныз крнструкций куски арматуры и бытовой мусор||Еа|бктонныз|крнструкций  
Територия не убирается на регулярной основе||Територия|не убирается|основе  
Стоит разукомплектованная Газель на проезжей части||Газель|Стоит|части  
Торговля происходит на стоянке на дороге под шлагбаумом гаража||Торговля|происходит|стоянке  
Отписки сводятся к отсрочке срока исполнения||Отписки|сводятся|отсрочке  срока
Второе апреля время 1505 на площади метро Орехово опять раскладывают вещи для продажиВопрос  где службы||Орехово|раскладывают|вещи  продажи
Нарушение 299ПП Грунт не складирован в соответсвиии с нормативными требованиями не вывезен своевременно||Грунт|складирован|соответсвиии  требованиями
Дворники устроили склад макулатуры и металла||Дворники|устроили|склад  макулатуры
ТС занимает машиноместо и представляет угрозу||ТС|занимает|место  
Инспектор опровергает факт устранения проблемы||Инспектор|опровергает|факт  устранения
Газон около автостоянки захламлен мусором и хламом||Газон|захламлен|мусором  
Плитка была уложена на неподготовленную основу асфальт просел и плитка вся растрескалась||Плитка|уложена|основу  
Лестница между д5к4 и 7к2 по Днепропетровской ул не соответствует требованиям к уличным лестницам и несмотря на неоднократные обращения за последние несколько лет Жилищник не сделал ее доступнееnВысота ступеней очень разная даже в пределах условно одного пролета||Жилищник|не сделал|ее  
Автомашина  более 3х лет стоит на одном месте без движения||Автомашина|стоит|месте  движения
Лестница много лет находится в таком ужасном состоянии||Лестница|находится|состоянии  
Плитка обозначает переход который уже не действует||Плитка|обозначает|переход  
Перемещено ТС было немного от бордюра||ТС|Перемещено|бордюра  
Мусор повсюду у входа||Мусор|повсюду|входа  
Фура стоит больше года вся проржавела и не используется  регистрационных знаков нет колеса спущены и неисправны||Фура|стоит|года  
Газель стоит без движения уже давно колеса спущенные весь грязный||Газель|стоит|движения  
Роща захламлена бытовым мусором камнями||Роща|захламлена|мусором  
Кустарник  опять захламлен бытовым мусором||Кустарник|захламлен|мусором  
Очень много мусора даже не считая того который Жилищник засыпал землёй и ветками на фото шина бережно засыпанная сухими ветками||Жилищник|засыпал|землёй  
Лестница находится напротив 4 подъездаВ таком состоянии находится все лето и по сей день и никому нет дела ||Лестница|находится|подъезда  
Техник которая следит за территорией и за уборкой проходит каждый день мимо и не обращает вниманияПримите уже наконец меры  почините лестницу ведь  впереди зима и будут травмы ||Техник|следит|территорией  
Очевидно Вы проводите свои рейды утром когда действительно никого нет  нет клиентов  некому продавать||Вы|проводите|рейды  
Мороженое продаётся в без упаковки и без какойлибо маркировки||Мороженое|продаётся|упаковки  
Захватчики воспользовались этим и организовали свалку мусорную ||Захватчики|воспользовались|этим  
Лестница идущая от д 10 по ул Вересаева к дому 7к2 по проезду Загорского разрушается Краска стерлась с кантов ступеней в сочетании с разбитыми плитками лестница стала опасной в темное время суток Просьба отремонтировать лестницу и опять покрасить края ступеней||Краска|стерлась|кантов  ступеней
nПроблема не решена более того она даже не решаласьnТерритория далека от санитарного состояния||\\nТерритория|далека|состояния  
На месте снесенных гаражей рядом с территорией ЦИТО сделали свалку с мусором||ЦИТО|сделали|свалку  мусором
Газон замусорен с торца здания и со стороны черного входа много пакетов окурков бутылок в кустах на траве и общий вид ужасный||Газон|замусорен|торца  здания
Мусор из них вывозится примерно через три дня||Мусор|вывозится|дня  
Все существующие СанПины  по организации торговли по содержанию городской территории по вывозу мусора и тд категорически запрещают подобную ситуацию||СанПины|запрещают|ситуацию  
Тротуар служит парковкой для жителей местного двора  особо это заметно в 78 утра||Тротуар|служит|парковкой  жителей
Набережная завалена мусором и строительными отходамиnАвтомобильными деталями ||Набережная|завалена|мусором  
Вопрос заключался КТО убирает данную территорию а не кому она принадлежит||КТО|убирает|территорию  
Мусор сдвинут в сторону и не вывезен в местах которые попали на фотографии в прошлых сообщениях по данной проблеме||Мусор|сдвинут|сторону  
Дворников не видно в течении дня||Дворников|не видно|течении  дня
Реклама размещена по ходу движения в центр Приложенная вами фотография об устранении проблемы указывает на совершенно другой участок при движении в область||Реклама|размещена|ходу  движения
Хим реагенты хранятся под открытым воздухом||Хим|хранятся|воздухом  
Кучи образовалась в ходе работ по многоразово продлеваемым ордерам 15030330 и 14030567||Кучи|образовалась|работ  ордерам
УК не принимает мер по ее устранению||УК|не принимает|мер  устранению
Мусор откинут в зелёную полосу присыпан землёй||Мусор|откинут|полосу  
Поддоны перемещены на несколько метров||Поддоны|перемещены|метров  
nКонтейнер был поставлен прямо на кучу мусора мало того вокруг него полно мусора||\\nКонтейнер|поставлен|кучу  
nФото сделаны 0408 вечером и 0708 утром||\\nФото|сделаны|вечером  
1 августа этого года его открылино радости почемуто малоЛюди проходя по тротуару  бросают мусор где придетсяДворники не убирают этот мусорЭти фото сделаны в разные дни в течение сентябряКак видно из них  мусора становится больше Спасибо||Дворники|не убирают|мусор  
Туалеты убрали с одного места и просто переставили в другое место||Туалеты|убрали|места  
Трещины  уже разрушают ступениа что буде зимойПросим исправить недостаткитк||Трещины|разрушают|ступени  
Ветер разносит мусор по территории||Ветер|разносит|мусор  
Фургон долгое время стоит без движения||Фургон|стоит|движения  
Двор убирает только в местах где делают фотографии||Двор|убирает|местах  
Лестница не отремонтирована должным образом остались множественные повреждения||Лестница|не отремонтирована|образом  
Хлам валяется практически на том же месте к сожалению||Хлам|валяется|месте  
Дворники ссылаются на отсутствие техники хотя по утрам трактор прометает дорогу и все сгребает к машинам после чего очень проблематично выехать||Дворники|ссылаются|отсутствие  техники
Постоянно все усыпано окурками и прочим бытовым мусоромnРанее оставлял сообщение 28112664 но проблема к сожалению не решаетсяnПрошу принять меры||\\n|оставлял|сообщение  
Торговля бахчевыми с прилавка у газели управа бездействует||Торговля|бахчевыми|прилавка  
ФотоnПожалуйста покрасьте ВСЮ боковую стену в один цвет а то серые квадраты на желтом фоне смотрятся очень странноnИ закрасьте надписи||\\nИ|закрасьте|надписи  
Хлам валяется на прежних местах 12 июня время 1030||Хлам|валяется|местах  
Данная Газель опять стоит по данному адресуnПрошу принять меры раз и навсегда||Газель|стоит|адресу  
Дворники уже 2 раз захмаляют территорию||Дворники|захмаляют|территорию  
Дворники сгребают мусор в кучи листьевnОставляют бутылки битое стекло пакетыnРазберитесь с проблемой||Дворники|сгребают|мусор  
Плитка не предупреждает об опасности падения или спотыкания о первую ступень||Плитка|не предупреждает|опасности  падения
nЯ уже неоднократно обращалась на портал по поводу этих контейнеров||\\nЯ|обращалась|портал  контейнеров
Автомобиль долгое время стоит без движения||Автомобиль|стоит|движения  
Снег был убран в другом месте а по указанной проблеме осталсясм фото обведено красным овалом||Снег|убран|месте  
Лица без определённого места жительства занимаются захламлением территории различным бытовым мусором досками коробками||Лица|занимаются|захламлением  территории
Посетители палатки быстрого питания расположенной по адресу Обводное ш д 7А выбрасывают мусор на тротуар дворники не прибирают||7А|выбрасывают|мусор  
Газель не эксплуатируется около 2ух лет||Газель|не эксплуатируется|лет  
Лестница находится в ещё худшем состоянии||Лестница|находится|состоянии  
На перекрестке улиц Шипиловская и Маршала Захарова пешеходные дорожки находятся в запущенном состоянии||Шипиловская|находятся|состоянии  
Плитка возвышается над асфальтом||Плитка|возвышается|асфальтом  
Мусор валяется прямо на земле||Мусор|валяется|земле  
Прилагаю фотографию сделанную в этот же день два часа спустяnМагазин попрежнему складирует мусор возле задних дверей с торца здания||\\nМагазин|складирует|мусор  
Грязь высыхает и повсюду залежи пыли||Грязь|высыхает|залежи  пыли
Мусор внизу возле воды||Мусор|внизу|воды  
Отодвигая покрышки ближе к реке Москва вы проблему не решите||Москва|ближе|реке  
Мусор с контейнерной площадки не вывозится месяцами||Мусор|не вывозится|месяцами  
КГМ находится от мостика через Сетунь по дорожке вверх и правее||КГМ|находится|мостика  
nДворники сметают мусор с асфальта на газон||\\nДворники|сметают|мусор  
Кафе не является лицензированным обьектом||Кафе|не является|обьектом  
А бетонные плиты Вы просто безобразно присыпали грунтом||Вы|присыпали|грунтом  
Лестница по которой приходится спускать по пути в школу а также подход к ней находятся в жутком состоянии||Лестница|находятся|состоянии  
Приложенные к ответу ОАТИ фото сделаны совершенно по другому адресу||ОАТИ|сделаны|адресу  
Мусор уже разлетается по всему мосту||Мусор|разлетается|мосту  
Мусор лежит по периметру авто парковки||Мусор|лежит|периметру  авто
Мусор убран не до конца||Мусор|убран|конца  
Газон перед домом 13 засыпан мусором  см фото||Газон|засыпан|мусором  
На участке Афанасовского шоссе от д Афанасово в сторону Дмитровского шоссе в том числе на Территории которая относится к г Москва не производится регулярная периодическая уборка мусора вдоль дороги||Москва|относится|г.  
Дальше по дороге за шлагбаум Жилищник устроил свалку||Жилищник|устроил|свалку  
Контейнеры убрали только для проведения съемки под ответ на портале||Контейнеры|убрали|проведения  съемки
Мусор лежит более суток||Мусор|лежит|суток  
Строители метро возле пруда Запятая возят грунт колеса грузовиков не моются||Запятая|возят|грунт  
Грузовая ГАЗель с рекламой на кузове брошена на проезжей части||ГАЗель|брошена|части  
Мусор не убирается уже более 2 суток  такое повторяется систематически вокруг урн так же всё завалено мусором||Мусор|не убирается|суток  
Пыль уже разнесена прохожими по лестница и на прилежащую траву||Пыль|разнесена|прохожими  лестница
Выбоина отремонтированная в прошлом году цементной смесью так же представляет опасность||Выбоина|представляет|опасность  
Мусор валяется более двух недель||Мусор|валяется|недель  
К сожалению на момент фото вишенку на торте мертвую крысу у входа в метро все же убрали зато удалось запечатлеть восторженно чистотой и красотой города мужчину который от счастья теряет равновесиеnВопрос качества уборки района встает уже не первый год но эта весна стала выдающейсяnБольшая просьба уговорить службы существующие за счет моих налогов сделать свою работуnnЗаранее спасибо за оперативносиь||n|встает|год  
Здравствуйтеn Проблема следующаяnНа оживлённом перекрёстке улиц Константина Федина и 9ой Парковойкакое то время назад порядка несколько месяцев появился табачный киоскПешеходы прямо упираются в него||Пешеходы|упираются|него  
Не судите меня строгоnХотя бы решением этого вопроса мы позаботимся о молодёжиnНадеюсь на пониманиеnС уважением Ялин НВ||\\|позаботимся|молодёжи  
Мужичок продаёт наушники стоит по вечерам время от времени||Мужичок|продаёт|наушники  
Стоит при сходе с лестницы от метро Краснопресненская к Дружинниковской улице||Краснопресненская|Стоит|сходе  лестницы
Башаров в очередной раз вводит в заблуждение ||Башаров|вводит|заблуждение  
Самосвалы свозили мусор не понятно откуда||Самосвалы|свозили|мусор  
Однако при детальном рассмотрении видна арматура бетонные блоки и тп Кучи уже вплотную подступили к новому тротуару и даже частично на нем Вывоз осуществляется явно под покровом ночи тк вечером 281117 их не было а утром 2911 уже появились||Кучи|подступили|тротуару  
Авто занимает парковочное место и мешает движению и уборке снега на улице||Авто|занимает|место  
Плитка не забетонирована в асфальт||Плитка|не забетонирована|асфальт  
Торговцы фруктами цинично появляются каждый день||Торговцы|появляются|день  
Газель в наглую перегородила улицу||Газель|перегородила|улицу  
Мусор при уборке территории сваливается за ограждение||Мусор|сваливается|ограждение  
Продуктовый павильон Мясная лавка по адресу Судакова 17А оставляет мусор который постоянно разлетается под окна жилого дома фото прилагаю||Судакова|оставляет|мусор  
Хотелось бы продублировать свое сообщение от 18 Июня 2014 4961943nОно было опровергнуто в связи с тем что сроки восстановления стройплощадки  не вышли  в указанном ответе значилась дата 30072014||nОно|опровергнуто|тем  
Мусор перемещается по территории  но не убирается с неё||Мусор|перемещается|территории  
Перовский пруд и прилегающий к нему сквер химзавода Мусор не вывозится больше недели||Мусор|не вывозится|недели  
В парковочном кармане напротив дома 15 по улице Куусинена больше года стоит Газель ГРЗ н670уа197 со всеми признаками долгого пребывания без движения||Газель|стоит|признаками  пребывания
nМусор убирается дворниками||\\nМусор|убирается|дворниками  
Вонь стоит невозможная||Вонь|стоит|невозможная  
По факту убрана минимальная часть территорииосновная масса мусора осталасьОтветфикцияХотя Управа заявлялачто для уборки необходимо большое количество техники и много времениМожет гХихленко сам посетит это место преждечем даст следующий ответСвалка растянута вдоль всей дороги от д19 по 2 Сетуньскому прдо ГК Краснолужскийд25с1Также не решена проблема запрета здесь на свалку мусорао чём я также писалаНеобходимо провести работу с администрацией гаражейоградить территорию или поставить контейнеры для мусоранапримерn||Хихленко|посетит|место  
Управа пару раз присылала гастарбайтеров которые плиточным клеем замазывают разрушения Через месяц все отслаивается разрушение лестницы продолжается||Управа|присылала|гастарбайтеров  
nПесок убрали не до конца||\\nПесок|убрали|конца  
Наледь делает использование лестницы ещё более опасным||Наледь|делает|использование  лестницы
Живем рядом с большой помойкой которая именуется место массового отдыха Река Москва левый берег Балансодержатель ГПБУ Мосприрода Уборка осуществлялась несколько лет назад в настоящее время здесь регулярные пикники хотя мангалы давно убрали огромное количество пьяных горы мусора которые растут не по дням а по часам||Уборка|осуществлялась|лет  
Авто стоит в кармане||Авто|стоит|кармане  
Самосвал свалил ТБО с глиной около запасного выезда из гаражей||Самосвал|свалил|ТБО  
Запах стоит на весь район||Запах|стоит|район  
Полянка у забора и через дорогу от него превратилась в свалку||Полянка|превратилась|свалку  
Мусор лежит как минимум с лета||Мусор|лежит|лета  
Мешки с незаконно собранной листвой спрятаны в кустах  типа никто не заметит||Мешки|спрятаны|кустах  
Захламлена Стоянка для автомобилей бытовым мусором||Стоянка|Захламлена|мусором  
В районе мКомсомольская открыли блошиный рынок в здании книжного клуба Депо||Комсомольская|открыли|рынок  
по прежнему не убран КГМ на газонеnПредыдущий ответ к сожалению был ложный||КГМ|не убран|газоне  
Мусор остался посередине поля  покрышки  с справа ближе к метро где стоят машинывагончик||Мусор|остался|поля  
Сообщения 25351284 25333437 25368894 не отработаны Стройплощадка захламлена мусором ничего не изменилось||Стройплощадка|захламлена|мусором  
Мусор по периметру разброшен и в самом котловане||Мусор|разброшен|котловане  
Бордюры высоко выпирают над плиткой легко споткнуться||Бордюры|выпирают|плиткой  
Пол протирается наверно раз в неделю судя по черным следам и грязи||Пол|протирается|раз  неделю
Магазин находится в безобразном запущенном состоянии||Магазин|находится|состоянии  
Магазин расположен на первом этаже жилого дома||Магазин|расположен|этаже  дома
Звонки в единую службу ЖКХ ничего не дают  ДЭЗ сообщает о том что территория убрана хотя на самом деле все осталось попрежнему||ДЭЗ|сообщает|том  
В районе Измайлово перестали совсем убирать улицы за последний годМусор лежит неделямиДворники толпами кучкуются у помоек и вообще ничего не делаютиногда метут сухие листья на проезжей частиВ каждом дворе куча мусора куда не пойдиВсе детские площадки закиданы бутылкамифантиками везде бычкиПротивно по улицам ходить||Мусор|лежит|неделями  
Мусор от недоделанного ремонта уже лежит месяц||Мусор|лежит|месяц  
Мусор лежит уже более двух недель убирать его судя по всему никто не собирается||Мусор|лежит|недель  
Мешок стоит с мусором здоровый как контейнер||Мешок|стоит|мусором  
Ступеньки имеют значительный наклон||Ступеньки|имеют|наклон  
Перила по прежнему находятся в примерно 1 метре от края лестницы красная линия на фото  пользоваться невозможно||Перила|находятся|метре  края
16 июня в 0400 ночи КАМАЗ выгрузил строительный и бытовой мусор в городской зоне||КАМАЗ|выгрузил|мусор  
Переулок не убирается дворниками на постоянной основе||Переулок|не убирается|дворниками  
Сделано тяпляп некоторые плитки все равно не зафиксированыnВместо нормального ремонта в большие сроки  наспех подлаталиnnФотография сделана сегодня утром||\\n\\nФотография|сделана|утром  
Роща захламлена бытовым и строительным мусором||Роща|захламлена|мусором  
Парк превращается таким образом в помойку||Парк|превращается|образом  
Мешки со строительным мусором и прочий хлам уже почти неделю лежат на тротуаре и на газоне||Мешки|лежат|тротуаре  
Проблемы связанные со строительными работами на указанной территории о которых сообщалось ещё в обращении 24381344 продолжают иметь местоnНекий подрядчик которого ОАТИ не разгласил в ответе на 24381344 дав тому возможность работать без инфостенда теперь еще и развел грязь на участке производства работ||ОАТИ|не разгласил|ответе 24381344 №
Перила сделаны отвратительно с нарушением всевозможных норм Конструкция ненадежна||Перила|сделаны|отвратительно  
Куча лежит уже больше месяца||Куча|лежит|месяца  
Мусор скапливается неделями его никто не убирает||Мусор|скапливается|неделями  
Контейнер стоит без огорождения||Контейнер|стоит|огорождения  
УК использует её как временную свалку||УК|использует|её  
городская территория по адресу ул Вятская д37 с19 находится в ненадлежащем состоянии и используется для свалки и дальнейшего хранения бытового строительного мусора а также сюда свозят порубочные остатки||Вятская|находится|состоянии  
Мусоровозы захламили эту территорию||Мусоровозы|захламили|территорию  
Урны заполнены мусором в дереве торчит картонная коробка||Урны|заполнены|мусором  
Им что все равно на штрафы Сидят каждый деньПосде 1400 на углу Тарутинская 1потом перебегают на дорогуПолюс стоят люди у них на стремеМожет уже как то по другому решать эту проблемуесли они не понимают||Полюс|стоят|них  
КАМАЗ без номеров стоит несколько лет на одном месте борт расписан рисунками||КАМАЗ|стоит|лет  
АБП на газоне убрали только по фото и то не  качественно||АБП|убрали|фото  
ГБУ жилищник вывозит бытовые отходы под окна дома престарелых||ГБУ|вывозит|отходы  
Самосвалы сваливают строительный мусор||Самосвалы|сваливают|мусор  
Мусор валяется на дороге не в мусорных контейнерах не следят за вывозом мусора||Мусор|валяется|дороге  
Мусор разлетается по территорииnПрошу выставить дополнительный контейнер либо привлечь тех кто вовремя не вывозит мусор||Мусор|разлетается|территории  
Коробки упаковку пункт самовывоза складывает горой у подъезда 2 хотя должен выносить в контейнеры для мусора||Коробки|складывает|горой  
Уборка произведена странным способом||Уборка|произведена|способом  
Мусор в виде сломанных веток на обочине дороги лежит более 2х недель||Мусор|лежит|недель  
Газоны сильно замусорены реагентами по направлению в кожухово||Газоны|замусорены|реагентами  
Вандалы готовы к днюхе города ||Вандалы|готовы|днюхе  города
Перила сделаны из труб и их торцы травмоопасны||Перила|сделаны|труб  
Куча просто передвинута на 10 метров||Куча|передвинута|метров  
Возле Дегунинского пруда со стороны дома 13 корп 1 по ул Дегунинская отломана плитка на ступеньках это опасно люди могут упасть||Дегунинская|отломана|ступеньках  
Тротуар в этом году 2013 г вообще не чистился от снега и наледи||Тротуар|не чистился|снега  
ГБУ переместил мусор и листву на другою сторону периметра и засыпал землей||ГБУ|переместил|мусор  
Люки колодцев выпирают из асфальта довольно сильно  асфальт волнами ||Люки|выпирают|асфальта  
Добрый деньnnПросим пожалуйста убрать свалку урну и близлежащий мусор вокруг на территории адреса ул Радио 239с2 со стороны набережной 3его транспортного кольцаnnУбедительная просьба убрать мусор до 12062018nnФото прикрепляем во вложенииnnЗаранее спасибо||Радио|прикрепляем|вложении  
Мусор был тупо переставлен в другое место под деревом||Мусор|переставлен|место  деревом
Арматура так и торчит из земли её только сильнее пригибают||Арматура|торчит|земли  
На против магазина Дикси который расположен по адресу ул Маршала Голованова дом 5 в кустах прячут мусор в чёрных мешках||Дикси|расположен|адресу  
Свалка по данному адресу образовалась в пределах 2 месяцев||Свалка|образовалась|пределах 2 месяцев
ЗдравствуйтеВ здании  12 стр  2 проживает несколько лиц без определённого места жительстваЛица выломали металлические двериНа прошлых обращениях на портале было утверждено что за зданием будет ежедневный контроль||Лица|выломали|двери  
Пандусы  имеют следы коррозии и внутренняя часть швеллера и просечной лист||Пандусы|имеют|следы  коррозии
Лестница состоит из кусков асфальта разной величины||Лестница|состоит|кусков  асфальта
Ступени перед подходом ко второму подъезду находятся в плохом состоянии||Ступени|находятся|состоянии  
Лестница которая ведет на верх к магазину частично разрушена||Лестница|ведет|верх  
Жильцы выходя из подъезда натыкаются на припаркованные автомобили||Жильцы|натыкаются|автомобили  
Из магазина Перекресток постоянно выкидывают мусор в том числе и ртутьсодержащие лампы на улицу||Перекресток|выкидывают|мусор  
Газон усыпан мусором заброшенные контейнеры и кучи мусора||Газон|усыпан|мусором  
Лестница находится  в аварийном состоянии||Лестница|находится|состоянии  
Лестница требует грамотного ремонта  горизонтальные плитки уложены но не приклеены||Лестница|требует|ремонта  
По адресу ул Реутовская напротив дома 6 к 2 на дороге около стоянки МГСА  неделю назад разобрали автомобиль ВАЗ||Реутовская|разобрали|автомобиль  ВАЗ
Роща завалена мусором||Роща|завалена|мусором  
Направление плитки неверноеnПлитка уложена не к пешеходному переходу а от дороги||\\nПлитка|уложена|переходу  
На углу дома образовалась большая куча из мешков с мусором от ремонтаКуча растет день ото дня и никто ее не убираетПросим убрать мусор и взять на контроль своевременной уборки двора от захламления||Куча|растет|день  дня
nЯ наблюдал за очисткой указанной территории мусор зарывали бульдозеры в землю а после разравнивали||\\nЯ|наблюдал|очисткой  территории
Газон напротив дома весь забросан мусором бычками от сигарет и совершенно не убирается||Газон|забросан|мусором  
Мусор из урн на этой дороге в парк не убирается неделями||Мусор|не убирается|неделями  
Урна оторвана от основания и ограничивает вход в первый подъезд||Урна|оторвана|основания  
Бордюры ступенек сильно выпирают относительно поверхности||Бордюры|выпирают|поверхности  
Плитка уложена с грубым нарушение требований к её укладке направление направляющих не соотв направлению тротуара||Плитка|уложена|нарушение  требований
Мешки с мусором брошены на тротуаре||Мешки|брошены|тротуаре  
К сожалению приходиться снова писать о том  что на ул 2я Энтузиастов д4 и ул ПрудКлючики выбросили мусор теперь и строительный||Пруд-Ключики|выбросили|мусор  
Территория прилегающая к нежилому строению по адресу ул Новощукинская д 18 захламлена мусором||Новощукинская|захламлена|мусором  
Контейнер был убран около недели назад но на его месте образовалась несанкционированная свалка бытового мусора от жильцов и арендаторов соседних зданий||Контейнер|убран|недели  
Куча народу жарит шашлыки и оставляет мусор урны забиты одноразовая посуда разбросана по всей площади||Куча|жарит|шашлыки  
Автобус стоит уже третий год занимает три парковочных места||Автобус|стоит|год  
Мусор копится с ранней весны||Мусор|копится|весны  
Мусор и выброшенные вещи лежат на земле с обеих сторон здания||Мусор|лежат|земле  
Мусор имеется даже на пешеходных дорожках||Мусор|имеется|дорожках  
